"model","scenario","region","unit","variable","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Income Inequality Model (2019)","SSP1","Jamaica","","Gini Income Inequality Coefficient",61.127,60.978,60.608,59.982,59.132,58.075,56.79,55.297,53.636,51.772,49.694,47.413,44.938,42.292,39.481,36.537,33.425,30.137
"Income Inequality Model (2019)","SSP1","Japan","","Gini Income Inequality Coefficient",31.996,32.222,32.418,32.554,32.565,32.507,32.388,32.225,32.021,31.756,31.444,31.092,30.719,30.337,29.945,29.526,29.124,28.734
"Income Inequality Model (2019)","SSP1","Jordan","","Gini Income Inequality Coefficient",39.239,39.131,38.999,38.673,37.697,36.3,34.939,33.735,32.666,31.772,31.056,30.482,30.021,29.652,29.356,29.119,28.929,28.776
"Income Inequality Model (2019)","SSP1","Kazakhstan","","Gini Income Inequality Coefficient",27.543,27.674,27.738,27.725,27.636,27.469,27.227,26.909,26.652,26.373,26.071,25.748,25.404,25.044,24.671,24.297,23.891,23.463
"Income Inequality Model (2019)","SSP1","Kenya","","Gini Income Inequality Coefficient",54.345,54.151,53.813,53.277,52.692,52.01,51.181,50.224,49.7,49.235,48.722,48.166,47.573,46.945,46.284,45.598,44.883,44.14
"Income Inequality Model (2019)","SSP1","Kuwait","","Gini Income Inequality Coefficient",41.088,40.804,40.451,39.928,39.123,38.115,37.041,35.908,34.752,33.672,32.762,32.018,31.405,30.902,30.486,30.142,29.851,29.605
"Income Inequality Model (2019)","SSP1","Kyrgyzstan","","Gini Income Inequality Coefficient",27.724,27.944,28.126,28.241,28.224,28.146,28.009,27.828,27.612,27.335,27.02,26.667,26.293,25.908,25.512,25.088,24.668,24.254
"Income Inequality Model (2019)","SSP1","Laos","","Gini Income Inequality Coefficient",43.178,42.676,42.061,41.286,40.651,40.054,39.226,37.952,36.663,35.389,34.309,33.44,32.731,32.159,31.7,31.332,31.029,30.785
"Income Inequality Model (2019)","SSP1","Latvia","","Gini Income Inequality Coefficient",36.114,36.379,36.626,36.774,36.808,36.77,36.632,36.425,36.434,36.436,36.467,36.5,36.528,36.561,36.605,36.672,36.754,36.854
"Income Inequality Model (2019)","SSP1","Lebanon","","Gini Income Inequality Coefficient",42.552,42.187,41.74,41.121,40.368,39.492,38.479,37.23,36.017,34.875,33.922,33.155,32.533,32.031,31.629,31.306,31.042,30.83
"Income Inequality Model (2019)","SSP1","Lesotho","","Gini Income Inequality Coefficient",60.015,59.821,59.483,58.947,58.362,57.68,56.851,55.894,55.37,54.905,54.392,53.836,53.243,52.615,51.954,51.268,50.553,49.81
"Income Inequality Model (2019)","SSP1","Liberia","","Gini Income Inequality Coefficient",42.044,41.79,41.479,40.987,40.137,39.036,37.873,36.643,35.492,34.458,33.607,32.924,32.371,31.927,31.571,31.285,31.053,30.867
"Income Inequality Model (2019)","SSP1","Libya","","Gini Income Inequality Coefficient",41.088,40.804,40.451,39.928,39.123,38.115,37.041,35.908,34.752,33.672,32.762,32.018,31.405,30.902,30.486,30.142,29.851,29.605
"Income Inequality Model (2019)","SSP1","Lithuania","","Gini Income Inequality Coefficient",36.289,37.251,38.142,38.825,39.237,39.341,39.173,38.807,38.913,39.003,39.065,39.093,39.1,39.117,39.169,39.281,39.433,39.609
"Income Inequality Model (2019)","SSP1","Luxembourg","","Gini Income Inequality Coefficient",27.485,27.499,27.563,27.549,27.478,27.356,27.191,26.992,26.665,26.323,25.976,25.628,25.283,24.953,24.59,24.204,23.816,23.421
"Income Inequality Model (2019)","SSP1","Macao","","Gini Income Inequality Coefficient",43.738,43.36,42.896,42.222,41.265,40.092,38.832,37.501,36.232,35.023,33.927,33.013,32.26,31.637,31.117,30.68,30.305,29.981
"Income Inequality Model (2019)","SSP1","Madagascar","","Gini Income Inequality Coefficient",46.215,45.686,45.042,44.246,43.54,42.85,41.988,40.854,39.478,38.076,36.873,35.897,35.107,34.47,33.958,33.546,33.211,32.941
"Income Inequality Model (2019)","SSP1","Malawi","","Gini Income Inequality Coefficient",51.949,51.747,51.409,50.876,50.235,49.467,48.586,47.659,47.051,46.494,45.91,45.308,44.692,44.059,43.408,42.743,42.06,41.358
"Income Inequality Model (2019)","SSP1","Malaysia","","Gini Income Inequality Coefficient",52.095,51.901,51.563,51.027,50.442,49.76,48.931,47.974,47.45,46.985,46.472,45.916,45.323,44.695,44.034,43.348,42.633,41.89
"Income Inequality Model (2019)","SSP1","Maldives","","Gini Income Inequality Coefficient",42.337,42.019,41.63,41.065,40.27,39.299,38.223,36.982,35.795,34.698,33.789,33.057,32.464,31.987,31.604,31.297,31.047,30.846
"Income Inequality Model (2019)","SSP1","Mali","","Gini Income Inequality Coefficient",38.619,38.511,38.379,38.053,37.077,35.68,34.319,33.115,32.046,31.152,30.436,29.862,29.401,29.032,28.736,28.499,28.309,28.156
"Income Inequality Model (2019)","SSP1","Malta","","Gini Income Inequality Coefficient",27.625,27.745,27.652,27.375,26.921,26.285,25.485,24.565,23.854,23.133,22.4,21.646,20.852,20.002,19.096,18.161,17.21,16.26
"Income Inequality Model (2019)","SSP1","Mauritania","","Gini Income Inequality Coefficient",43.022,42.554,41.981,41.245,40.58,39.913,39.039,37.772,36.502,35.26,34.213,33.369,32.681,32.127,31.682,31.326,31.032,30.797
"Income Inequality Model (2019)","SSP1","Mauritius","","Gini Income Inequality Coefficient",41.387,41.277,41.142,40.814,39.84,38.447,37.089,35.885,34.814,33.919,33.2,32.625,32.163,31.793,31.496,31.258,31.067,30.914
"Income Inequality Model (2019)","SSP1","Mexico","","Gini Income Inequality Coefficient",54.902,54.679,53.411,51.143,48.03,44.336,40.145,35.552,31.478,28.212,25.593,23.493,21.81,20.46,19.378,18.51,17.814,17.256
"Income Inequality Model (2019)","SSP1","Moldova","","Gini Income Inequality Coefficient",30.538,30.782,30.997,31.146,31.149,31.095,30.987,30.843,30.638,30.362,30.043,29.682,29.3,28.908,28.506,28.068,27.645,27.234
"Income Inequality Model (2019)","SSP1","Mongolia","","Gini Income Inequality Coefficient",39.459,39.351,39.219,38.893,37.917,36.52,35.159,33.955,32.886,31.992,31.276,30.702,30.241,29.872,29.576,29.339,29.149,28.996
"Income Inequality Model (2019)","SSP1","Montenegro","","Gini Income Inequality Coefficient",30.209,30.101,29.969,29.643,28.667,27.27,25.909,24.705,23.636,22.742,22.026,21.452,20.991,20.622,20.326,20.089,19.899,19.746
"Income Inequality Model (2019)","SSP1","Morocco","","Gini Income Inequality Coefficient",46.316,45.802,45.176,44.399,43.662,42.912,42.017,40.914,39.532,38.123,36.913,35.931,35.137,34.497,33.983,33.569,33.233,32.962
"Income Inequality Model (2019)","SSP1","Mozambique","","Gini Income Inequality Coefficient",51.387,51.152,50.812,50.294,49.437,48.338,47.258,46.446,45.513,44.6,43.745,42.963,42.258,41.607,40.992,40.408,39.85,39.305
"Income Inequality Model (2019)","SSP1","Myanmar","","Gini Income Inequality Coefficient",43.628,43.028,42.292,41.405,40.855,40.457,39.762,38.472,37.128,35.758,34.588,33.645,32.874,32.251,31.751,31.351,31.019,30.753
"Income Inequality Model (2019)","SSP1","Namibia","","Gini Income Inequality Coefficient",66.805,66.611,66.273,65.737,65.152,64.47,63.641,62.684,62.16,61.695,61.182,60.626,60.033,59.405,58.744,58.058,57.343,56.6
"Income Inequality Model (2019)","SSP1","Nepal","","Gini Income Inequality Coefficient",38.329,38.221,38.089,37.763,36.787,35.39,34.029,32.825,31.756,30.862,30.146,29.572,29.111,28.742,28.446,28.209,28.019,27.866
"Income Inequality Model (2019)","SSP1","Netherlands","","Gini Income Inequality Coefficient",26.672,26.867,26.906,26.831,26.631,26.303,25.839,25.243,24.713,24.135,23.519,22.871,22.195,21.503,20.799,20.093,19.371,18.638
"Income Inequality Model (2019)","SSP1","New Caledonia","","Gini Income Inequality Coefficient",41.77,41.564,41.318,40.901,39.817,38.315,36.943,36.018,34.747,33.548,32.536,31.71,31.055,30.53,30.107,29.765,29.496,29.279
"Income Inequality Model (2019)","SSP1","New Zealand","","Gini Income Inequality Coefficient",32.746,32.866,32.889,32.796,32.602,32.318,31.944,31.5,31.008,30.467,29.87,29.216,28.514,27.781,27.028,26.272,25.497,24.7
"Income Inequality Model (2019)","SSP1","Nicaragua","","Gini Income Inequality Coefficient",45.448,45.089,44.66,44.081,43.008,41.626,40.369,39.603,38.155,36.675,35.394,34.34,33.505,32.835,32.294,31.856,31.512,31.234
"Income Inequality Model (2019)","SSP1","Niger","","Gini Income Inequality Coefficient",37.029,36.921,36.789,36.463,35.487,34.09,32.729,31.525,30.456,29.562,28.846,28.272,27.811,27.442,27.146,26.909,26.719,26.566
"Income Inequality Model (2019)","SSP1","Nigeria","","Gini Income Inequality Coefficient",48.762,48.504,48.163,47.655,46.65,45.323,44.107,43.374,42.218,41.061,40.019,39.114,38.349,37.684,37.095,36.566,36.094,35.657
