poverty_3,poverty_4_20,poverty_8_30,poverty_10
872916050.0,872916050.0,,
929047000.0,929047000.0,,
999713050.0,999713050.0,,
1138138100.0,1138138100.0,,
1172045150.0,1172045150.0,,
1243912050.0,1243912050.0,,
1308280250.0,1308280250.0,,
1400202000.0,1400202000.0,,
1474298400.0,1474298400.0,,
1590463100.0,1590463100.0,,
1706190450.0,1706190450.0,,
1738453600.0,1738453600.0,,
1688012750.0,1688012750.0,,
1748988400.0,1748988400.0,,
1831576700.0,1831576700.0,,
1917083500.0,1917083500.0,,
2035191450.0,2035191450.0,,
2138242200.0,2138242200.0,,
2193095150.0,2193095150.0,,
2361116449.39308,2361116449.39308,,
2268301646.46707,2268301646.46707,,
2455092686.34712,2455092686.34712,,
3677393998.74486,3677393998.74486,,
3519991440.47913,3519991440.47913,,
3666222635.13875,3666222635.13875,,
4194342686.2178,4194342686.2178,,
5349258094.48239,5349258094.48239,96.53357,97.78994
6190270380.49856,6190270380.49856,,
6567654954.38903,6567654954.38903,,
7034111314.88812,7034111314.88812,,
8169048382.83875,8169048382.83875,,
9787734526.23965,9787734526.23965,,
9738626517.00319,9738626517.00319,,
9535345015.78355,9535345015.78355,,
10693321363.6574,10693321363.6574,94.13513,96.13831
11141358115.8991,11141358115.8991,,
12517845123.9315,12517845123.9315,,
13284527846.9081,13284527846.9081,,
11388160996.7738,11388160996.7738,93.20008,94.9087
303408345.620078,303408345.620078,,
352229076.707627,352229076.707627,,
363458380.903342,363458380.903342,,
399311199.50776,399311199.50776,,
460733418.399276,460733418.399276,,
496110225.710307,496110225.710307,,
559345263.708309,559345263.708309,,
651935430.314445,651935430.314445,76.11157,82.77681
735348490.428435,735348490.428435,,
860391000.221655,860391000.221655,,
942879878.538879,942879878.538879,,
1255767964.00491,1255767964.00491,65.101074,74.83472
1317517834.59916,1317517834.59916,,
1331343797.77308,1331343797.77308,,
1708880730.20989,1708880730.20989,,
1977728658.68259,1977728658.68259,,
1973387227.96519,1973387227.96519,48.532764,59.684937
1943696951.65411,1943696951.65411,,
2089079570.58285,2089079570.58285,,
2187815803.36833,2187815803.36833,,
2786045321.63743,2786045321.63743,,
3671909673.04401,3671909673.04401,,
4116774300.60671,4116774300.60671,,
4686256363.04707,4686256363.04707,,
5567772768.81188,5567772768.81188,,
5800615374.76094,5800615374.76094,20.207499,32.66488
6728220982.88398,6728220982.88398,,
8498894359.38629,8498894359.38629,,
10156541220.9704,10156541220.9704,9.7287445,15.962813
11222796336.5426,11222796336.5426,,
12864841905.9543,12864841905.9543,,
15778734264.3787,15778734264.3787,6.7662344,12.555877
19112796623.1175,19112796623.1175,,
17613949091.2294,17613949091.2294,,
17176315803.7298,17176315803.7298,,
18644233537.1093,18644233537.1093,8.120414,13.823639
17226735995.6905,17226735995.6905,,
18179109209.3892,18179109209.3892,,
18558734107.1478,18558734107.1478,,
16404348361.0926,16404348361.0926,,
4847757217.75815,4847757217.75815,,
5020265626.66489,5020265626.66489,,
4790481509.17679,4790481509.17679,,
5484263346.88105,5484263346.88105,,
